DATE,2 Year,5 Year,10 Year,30 Year
1/1/99,2.42%,3.38%,1.66%,1.95%
2/1/99,1.14%,1.41%,0.55%,1.38%
3/1/99,2.65%,2.17%,1.30%,0.97%
4/1/99,0.05%,0.00%,-0.17%,-0.41%
5/1/99,0.53%,0.29%,0.26%,0.05%
6/1/99,-1.31%,-1.85%,-2.76%,-3.76%
7/1/99,-1.12%,-1.14%,-0.64%,-0.47%
8/1/99,-3.47%,-3.42%,-2.19%,-2.40%
9/1/99,-11.43%,-12.34%,-10.02%,-6.06%
10/1/99,-12.31%,-9.51%,-5.76%,-3.73%
11/1/99,10.95%,8.44%,6.56%,4.75%
12/1/99,-0.74%,-1.93%,-3.78%,-3.61%
1/1/00,2.42%,3.38%,1.66%,1.95%
2/1/00,5.66%,6.83%,5.86%,4.02%
3/1/00,3.62%,4.59%,4.67%,4.01%
4/1/00,-1.51%,-1.18%,-0.92%,-0.59%
5/1/00,5.58%,7.04%,6.85%,4.65%
6/1/00,6.93%,6.84%,6.50%,4.07%
7/1/00,-1.14%,-2.25%,-1.82%,-0.97%
8/1/00,2.22%,2.87%,2.54%,1.43%
9/1/00,-0.29%,-0.68%,-0.40%,0.05%
10/1/00,3.54%,3.99%,3.33%,3.16%
11/1/00,-0.01%,-1.07%,-1.28%,-1.89%
12/1/00,4.14%,3.64%,4.00%,3.36%
1/1/01,5.50%,6.35%,6.14%,4.32%
2/1/01,2.65%,1.50%,-2.12%,-5.94%
3/1/01,-1.24%,-2.61%,-4.03%,-2.86%
4/1/01,-1.91%,-3.71%,-4.25%,-3.42%
5/1/01,6.34%,6.79%,7.51%,5.17%
6/1/01,-4.81%,-5.78%,-5.33%,-3.61%
7/1/01,-2.20%,-1.93%,-0.71%,-1.27%
8/1/01,-1.74%,-1.91%,-3.76%,-2.31%
9/1/01,-2.36%,-2.09%,-0.46%,1.93%
10/1/01,-2.78%,-2.56%,-1.04%,-0.40%
11/1/01,-0.63%,-1.47%,-0.37%,-0.48%
12/1/01,-8.91%,-9.30%,-8.34%,-4.94%
1/1/02,-11.06%,-5.99%,-1.52%,0.92%
2/1/02,-2.17%,0.57%,-1.20%,-1.56%
3/1/02,-6.75%,-4.99%,-4.19%,-2.11%
4/1/02,-2.49%,2.60%,5.23%,5.74%
5/1/02,0.61%,3.45%,4.87%,2.37%
6/1/02,-4.23%,-2.45%,-1.99%,-1.91%
7/1/02,-1.02%,-0.94%,-0.91%,-0.99%
8/1/02,-6.96%,-3.95%,-5.06%,-2.31%
9/1/02,-16.99%,-10.03%,-4.82%,-0.01%
10/1/02,-12.60%,-4.99%,-3.49%,-3.05%
11/1/02,2.08%,1.60%,1.85%,-3.71%
12/1/02,11.66%,10.50%,9.37%,7.07%
1/1/03,-2.54%,-1.13%,-1.02%,-0.63%
2/1/03,-0.42%,-0.96%,-2.47%,-0.81%
3/1/03,17.98%,10.23%,7.58%,
4/1/03,-3.79%,-1.92%,-1.38%,
5/1/03,-4.63%,-3.28%,-0.89%,
6/1/03,-8.31%,-6.86%,-4.61%,
7/1/03,-14.57%,-9.05%,-5.55%,
8/1/03,-16.55%,-13.47%,-8.51%,
9/1/03,-6.05%,-10.82%,-9.10%,
10/1/03,-4.62%,0.24%,1.83%,
11/1/03,0.59%,3.73%,2.73%,
12/1/03,-4.52%,-0.70%,-0.40%,
1/1/04,-5.06%,0.63%,0.40%,
2/1/04,-6.62%,-5.06%,-3.60%,
3/1/04,-3.32%,-3.94%,-2.45%,
4/1/04,3.09%,5.20%,3.98%,
5/1/04,-12.77%,-14.10%,-9.84%,
6/1/04,-13.29%,-9.94%,-6.58%,
7/1/04,20.12%,26.77%,19.23%,
8/1/04,26.47%,17.33%,11.82%,
9/1/04,-8.48%,-5.50%,-3.85%,
10/1/04,2.43%,0.04%,0.38%,
11/1/04,10.24%,3.18%,0.22%,
12/1/04,-1.01%,-0.57%,-0.75%,
1/1/05,-7.67%,-4.50%,-2.75%,
2/1/05,-1.19%,-1.72%,-1.60%,
3/1/05,-9.32%,-9.16%,-6.31%,
4/1/05,31.25%,21.62%,13.62%,
5/1/05,22.34%,13.60%,8.46%,
6/1/05,9.07%,2.04%,0.39%,
7/1/05,-4.51%,-6.12%,-4.98%,
8/1/05,-4.94%,-5.80%,-4.82%,
9/1/05,0.68%,-3.43%,-3.64%,
10/1/05,2.35%,-0.23%,-0.70%,
11/1/05,10.35%,5.30%,2.37%,
12/1/05,5.60%,2.08%,0.88%,
1/1/06,7.00%,3.02%,-0.22%,
2/1/06,5.03%,1.60%,-1.33%,
3/1/06,10.11%,10.60%,7.98%,
4/1/06,-1.96%,-4.01%,-3.49%,
5/1/06,-0.27%,-3.64%,-4.53%,
6/1/06,-0.09%,-2.09%,-3.53%,
7/1/06,6.33%,5.48%,4.48%,
8/1/06,4.48%,3.60%,2.04%,
9/1/06,-2.43%,-2.81%,-1.49%,
10/1/06,8.23%,8.05%,6.30%,
11/1/06,3.41%,2.86%,1.60%,
12/1/06,-0.28%,-1.35%,-1.50%,
1/1/07,-0.20%,-1.07%,-1.14%,
2/1/07,6.21%,5.21%,3.46%,
3/1/07,1.40%,3.15%,3.39%,4.35%
4/1/07,3.27%,3.94%,5.64%,6.93%
5/1/07,1.62%,1.95%,2.39%,2.74%
6/1/07,3.09%,1.39%,-0.07%,-0.91%
7/1/07,-0.06%,-0.54%,-0.37%,-0.38%
8/1/07,-4.20%,-4.32%,-4.15%,-2.70%
9/1/07,-2.74%,-3.21%,-3.23%,-2.88%
10/1/07,0.56%,0.41%,0.21%,0.06%
11/1/07,-1.15%,-2.23%,-2.83%,-3.48%
12/1/07,-1.41%,-1.08%,-0.67%,-0.07%
1/1/08,4.34%,4.85%,4.27%,3.62%
2/1/08,-0.56%,-0.89%,-0.78%,-0.63%
3/1/08,-5.68%,-4.87%,-3.35%,-2.07%
4/1/08,2.02%,2.51%,2.83%,3.06%
5/1/08,2.15%,1.61%,1.12%,0.72%
6/1/08,4.49%,7.69%,7.51%,6.16%
7/1/08,-3.24%,-2.81%,-1.93%,-1.83%
8/1/08,-10.50%,-9.27%,-6.58%,-3.44%
9/1/08,-6.99%,-5.26%,-3.28%,-2.82%
10/1/08,-1.09%,-0.02%,0.14%,-0.41%
11/1/08,-15.91%,-12.65%,-8.38%,-5.31%
12/1/08,-6.58%,-4.90%,-1.23%,0.15%
1/1/09,-20.57%,-14.54%,-8.62%,-4.34%
2/1/09,-20.31%,-6.76%,-0.18%,4.31%
3/1/09,-18.04%,-10.63%,-6.09%,-2.75%
4/1/09,26.61%,14.41%,4.70%,1.14%
5/1/09,19.46%,10.98%,5.58%,3.44%
6/1/09,13.42%,10.53%,5.66%,2.02%
7/1/09,-7.23%,-5.22%,-2.24%,-2.52%
8/1/09,-5.93%,-4.88%,-3.04%,-1.51%
9/1/09,-14.22%,-8.20%,-5.13%,-5.17%
10/1/09,-22.34%,-5.48%,3.47%,-2.25%
11/1/09,-24.78%,-15.94%,-7.54%,-4.04%
12/1/09,-32.31%,-33.59%,-31.48%,-28.33%
1/1/10,-1.69%,4.91%,4.19%,8.99%
2/1/10,20.85%,17.23%,14.00%,14.67%
3/1/10,-4.50%,-2.97%,-1.76%,1.57%
4/1/10,-0.45%,2.32%,3.82%,3.21%
5/1/10,0.25%,14.85%,12.50%,12.42%
6/1/10,27.39%,26.80%,13.02%,6.85%
7/1/10,-13.93%,-8.99%,-4.29%,-2.43%
8/1/10,9.43%,4.39%,0.70%,-0.81%
9/1/10,-14.26%,-7.85%,-5.16%,-4.24%
10/1/10,-0.75%,-1.53%,-0.42%,0.07%
11/1/10,-15.37%,-4.39%,0.44%,3.01%
12/1/10,8.89%,4.93%,5.51%,4.15%
1/1/11,6.22%,6.14%,3.99%,2.47%
2/1/11,-7.76%,-4.85%,-1.13%,0.32%
3/1/11,11.89%,2.93%,0.98%,0.55%
4/1/11,10.61%,6.10%,3.20%,1.04%
5/1/11,-21.68%,-15.55%,-11.10%,-8.68%
6/1/11,-12.76%,-8.42%,-6.31%,-3.69%
7/1/11,-14.89%,-11.70%,-6.01%,-3.23%
8/1/11,-15.60%,-16.87%,-10.39%,-4.78%
9/1/11,-7.77%,-3.75%,-1.89%,-0.78%
10/1/11,-21.67%,-16.16%,-4.06%,2.63%
11/1/11,20.74%,14.16%,8.78%,8.10%
12/1/11,36.16%,43.30%,19.11%,5.54%
1/1/12,-0.60%,3.10%,3.13%,2.38%
2/1/12,25.73%,13.21%,5.37%,2.85%
3/1/12,-9.74%,-6.40%,-4.53%,-2.97%
4/1/12,5.32%,2.63%,1.19%,-0.27%
5/1/12,-24.41%,-15.06%,-8.29%,-4.62%
6/1/12,-26.08%,-14.24%,-5.25%,-1.41%
7/1/12,-0.96%,-2.47%,0.02%,0.89%
8/1/12,-43.31%,-33.72%,-23.31%,-14.50%
9/1/12,-8.25%,-11.83%,-14.23%,-12.84%
10/1/12,32.67%,17.88%,8.95%,-1.71%
11/1/12,-9.63%,-14.46%,-6.44%,-3.60%
12/1/12,1.44%,-1.83%,-1.76%,-1.10%
1/1/13,-6.47%,-6.33%,-0.59%,1.46%
2/1/13,15.59%,-0.48%,0.05%,2.74%
3/1/13,23.94%,22.42%,10.43%,5.54%
4/1/13,-15.28%,-12.04%,-5.52%,-2.96%
5/1/13,-2.37%,-14.86%,-12.16%,-7.96%
6/1/13,2.42%,-6.61%,-10.03%,-7.94%
7/1/13,-15.01%,-12.92%,-5.90%,-4.01%
8/1/13,8.30%,15.24%,9.93%,6.98%
9/1/13,-5.00%,-6.30%,2.68%,4.00%
10/1/13,8.57%,5.92%,1.34%,0.66%
11/1/13,-3.30%,-6.15%,-5.28%,-3.34%
12/1/13,-4.10%,4.66%,3.93%,2.85%
1/1/14,3.21%,15.70%,11.39%,6.83%
2/1/14,0.80%,5.10%,3.63%,2.75%
3/1/14,-4.25%,-3.29%,-1.35%,-0.09%
4/1/14,-9.27%,-13.20%,-10.14%,-7.27%
5/1/14,7.83%,18.36%,9.61%,6.14%
6/1/14,33.16%,43.12%,19.28%,9.23%
7/1/14,2.22%,16.59%,12.27%,6.03%
8/1/14,4.53%,8.36%,6.00%,4.24%
9/1/14,13.37%,4.97%,2.64%,0.78%
10/1/14,-16.97%,-14.36%,-6.89%,-2.93%
11/1/14,-9.47%,0.31%,3.92%,3.38%
12/1/14,11.96%,14.96%,6.75%,2.34%
1/1/15,15.83%,4.47%,-1.51%,-3.09%
2/1/15,-17.01%,-7.95%,-5.20%,-2.82%
3/1/15,22.09%,8.16%,0.51%,-1.14%
4/1/15,4.53%,3.75%,-0.66%,-2.85%
5/1/15,-6.74%,-6.35%,-5.40%,-3.63%
6/1/15,16.28%,5.41%,1.54%,0.88%
7/1/15,11.93%,1.22%,-2.17%,-2.58%
8/1/15,-6.71%,-4.01%,-4.81%,-3.93%
9/1/15,19.96%,8.73%,4.72%,1.84%
10/1/15,-21.39%,-12.85%,-9.08%,-6.75%
11/1/15,18.36%,4.83%,0.93%,-0.05%
12/1/15,20.53%,1.20%,-5.09%,-6.75%
1/1/16,-13.21%,-16.19%,-14.76%,-13.35%
2/1/16,12.23%,7.14%,4.98%,4.53%
3/1/16,3.47%,3.15%,3.42%,2.34%
4/1/16,-15.68%,-10.83%,-5.27%,-1.54%
5/1/16,12.78%,13.58%,13.57%,14.27%
6/1/16,13.08%,9.43%,7.56%,5.31%
7/1/16,-3.04%,-3.05%,-1.65%,-1.46%
8/1/16,4.48%,-5.57%,-6.77%,-6.87%
9/1/16,2.25%,-3.34%,0.26%,3.40%
10/1/16,-9.61%,-7.00%,-4.73%,-2.19%
11/1/16,37.22%,20.59%,9.33%,4.91%
12/1/16,11.08%,1.65%,-0.90%,-1.98%
1/1/17,-8.47%,-10.61%,-7.02%,-3.76%
2/1/17,-18.45%,-19.52%,-14.66%,-8.24%
3/1/17,19.29%,12.59%,6.16%,2.35%
4/1/17,-12.22%,-8.56%,-4.44%,-2.28%
5/1/17,6.26%,3.37%,0.05%,0.16%
6/1/17,-10.39%,-10.31%,-8.97%,-6.67%
7/1/17,-8.05%,-8.13%,-8.52%,-9.19%
8/1/17,9.65%,5.74%,3.49%,1.56%
9/1/17,4.55%,3.98%,4.75%,3.92%
10/1/17,9.35%,7.97%,8.22%,6.38%
11/1/17,16.19%,25.47%,21.39%,14.46%
12/1/17,22.17%,22.75%,16.34%,8.78%
1/1/18,0.82%,-2.17%,-2.38%,-3.03%
2/1/18,-0.45%,-0.78%,-0.56%,0.43%
3/1/18,9.32%,5.88%,2.60%,1.62%
4/1/18,-5.48%,-9.40%,-7.43%,-4.53%
5/1/18,4.90%,0.69%,0.27%,0.60%
6/1/18,3.11%,-3.41%,-5.07%,-5.50%
7/1/18,2.25%,5.52%,6.00%,3.13%
8/1/18,-2.72%,-5.10%,-4.70%,-3.08%
9/1/18,3.69%,1.18%,-0.32%,-0.67%
10/1/18,11.92%,10.21%,7.18%,3.66%
11/1/18,9.50%,3.49%,-0.28%,-2.65%
12/1/18,8.68%,6.44%,2.09%,-1.21%