Date,Adj Close,Total Monthly Return
1/31/99,30.051966,-9.92%
2/28/99,27.071608,7.43%
3/31/99,29.083313,0.60%
4/30/99,29.257202,0.34%
5/31/99,29.356554,9.60%
6/30/99,32.175407,-1.16%
7/31/99,31.802904,3.51%
8/31/99,32.920502,-0.41%
9/30/99,32.78397,3.03%
10/31/99,33.777412,9.82%
11/30/99,37.093006,15.43%
12/31/99,42.817844,-6.15%
1/31/00,40.185978,10.51%
2/29/00,44.408237,8.39%
3/31/00,48.133762,-9.18%
4/30/00,43.712818,-10.40%
5/31/00,39.167633,9.96%
6/30/00,43.067059,-5.31%
7/31/00,40.782066,10.17%
8/31/00,44.929775,-17.97%
9/30/00,36.857845,-5.73%
10/31/00,34.746674,-20.51%
11/30/00,27.618551,-9.89%
12/31/00,24.886492,19.12%
1/31/01,29.645233,-24.91%
2/28/01,22.261745,-11.46%
3/31/01,19.710501,16.17%
4/30/01,22.897562,-4.10%
5/31/01,21.959726,1.95%
6/30/01,22.38891,-6.92%
7/31/01,20.839085,-12.20%
8/31/01,18.295799,-16.38%
9/30/01,15.299485,10.91%
10/31/01,16.968523,14.94%
11/30/01,19.50386,-2.20%
12/31/01,19.074684,-1.08%
1/31/02,18.868044,-13.02%
2/28/02,16.412176,4.94%
3/31/02,17.222851,-12.09%
4/30/02,15.140527,-4.15%
5/31/02,14.512652,-13.36%
6/30/02,12.573394,-9.48%
7/31/02,11.381227,-0.84%
8/31/02,11.285853,-16.69%
9/30/02,9.402225,24.77%
10/31/02,11.730928,15.85%
11/30/02,13.59071,-13.45%
12/31/02,11.762722,-2.10%
1/31/03,11.51555,0.48%
2/28/03,11.571333,-1.52%
3/31/03,11.396008,9.16%
4/30/03,12.43998,8.58%
5/31/03,13.507861,0.71%
6/30/03,13.603489,3.10%
7/31/03,14.025861,4.77%
8/31/03,14.695277,-0.87%
9/30/03,14.567768,7.33%
10/31/03,15.635644,1.43%
11/30/03,15.858778,2.41%
12/31/03,16.241304,5.01%
1/31/04,17.05426,-2.54%
2/29/04,16.62088,-2.66%
3/31/04,16.179487,-3.82%
4/30/04,15.561514,3.92%
5/31/04,16.171452,2.73%
6/30/04,16.612856,-6.09%
7/31/04,15.601641,-4.42%
8/31/04,14.911445,2.91%
9/30/04,15.344822,4.39%
10/31/04,16.018972,5.11%
11/30/04,16.837572,0.62%
12/31/04,16.94191,-3.76%
1/31/05,16.304144,0.15%
2/28/05,16.328701,-1.95%
3/31/05,16.009491,-3.53%
4/30/05,15.44474,6.94%
5/31/05,16.516951,-1.29%
6/30/05,16.304144,5.67%
7/31/05,17.229033,-0.95%
8/31/05,17.065336,0.24%
9/30/05,17.106253,-2.30%
10/31/05,16.713383,6.32%
11/30/05,17.769226,-3.73%
12/31/05,17.106253,4.06%
1/31/06,17.800314,0.23%
2/28/06,17.84152,2.26%
3/31/06,18.245319,-1.31%
4/30/06,18.00634,-6.50%
5/31/06,16.836138,-0.49%
6/30/06,16.753725,-2.61%
7/31/06,16.316959,7.02%
8/31/06,17.462439,3.82%
9/30/06,18.129953,4.17%
10/31/06,18.885223,2.84%
11/30/06,19.421968,-1.11%
12/31/06,19.207264,2.61%
1/31/07,19.707682,-2.70%
2/28/07,19.176168,1.00%
3/31/07,19.36718,4.72%
4/30/07,20.280725,5.04%
5/31/07,21.30224,-0.19%
6/30/07,21.260706,-0.13%
7/31/07,21.234095,1.92%
8/31/07,21.641321,3.57%
9/30/07,22.414227,5.51%
10/31/07,23.649839,-7.54%
11/30/07,21.867775,1.52%
12/31/07,22.200872,-12.39%
1/31/08,19.450502,-4.73%
2/29/08,18.530258,1.13%
3/31/08,18.739403,6.28%
4/30/08,19.91601,6.51%
5/31/08,21.21306,-9.63%
6/30/08,19.171249,-2.17%
7/31/08,18.756008,1.79%
8/31/08,19.09169,-12.75%
9/30/08,16.658022,-15.83%
10/31/08,14.02052,-8.41%
11/30/08,12.841622,1.05%
12/31/08,12.976351,-4.23%
1/31/09,12.427779,-3.81%
2/28/09,11.95369,10.62%
3/31/09,13.22356,10.99%
4/30/09,14.677104,2.32%
5/31/09,15.017447,3.17%
6/30/09,15.493924,8.67%
7/31/09,16.837536,1.62%
8/31/09,17.11104,4.25%
9/30/09,17.837532,-0.88%
10/31/09,17.680641,5.53%
11/30/09,18.658606,5.43%
12/31/09,19.670887,-8.26%
1/31/10,18.045462,3.48%
2/28/10,18.673948,6.50%
3/31/10,19.887884,1.58%
4/30/10,20.201675,-7.48%
5/31/10,18.690222,-5.73%
6/30/10,17.619247,7.83%
7/31/10,18.999033,-5.61%
8/31/10,17.932936,11.26%
9/30/10,19.952454,6.16%
10/31/10,21.181509,-1.64%
11/30/10,20.833557,5.18%
12/31/10,21.912201,3.55%
1/31/11,22.689394,2.19%
2/28/11,23.187008,-1.88%
3/31/11,22.750505,2.96%
4/30/11,23.423037,-1.05%
5/31/11,23.177774,-2.87%
6/30/11,22.512047,0.83%
7/31/11,22.698938,-5.31%
8/31/11,21.494072,-3.44%
9/30/11,20.755323,10.63%
10/31/11,22.961864,-1.50%
11/30/11,22.617577,-0.66%
12/31/11,22.467491,6.67%
1/31/12,23.966738,7.10%
2/29/12,25.669151,4.18%
3/31/12,26.74202,-0.81%
4/30/12,26.525463,-6.34%
5/31/12,24.844269,2.86%
6/30/12,25.555889,2.24%
7/31/12,26.128405,4.20%
8/31/12,27.226753,1.12%
9/30/12,27.530365,-5.97%
10/31/12,25.886635,0.90%
11/30/12,26.119766,-0.96%
12/31/12,25.868698,2.49%
1/31/13,26.513525,0.78%
2/28/13,26.720945,2.16%
3/31/13,27.298115,2.17%
4/30/13,27.88965,2.79%
5/31/13,28.668386,-3.38%
6/30/13,27.699492,4.25%
7/31/13,28.876856,-1.04%
8/31/13,28.576532,2.04%
9/30/13,29.158985,5.53%
10/31/13,30.77276,3.09%
11/30/13,31.723825,3.03%
12/31/13,32.684063,-2.09%
1/31/14,31.999971,4.39%
2/28/14,33.406055,0.00%
3/31/14,33.406055,0.71%
4/30/14,33.642368,3.76%
5/31/14,34.906841,1.40%
6/30/14,35.396015,2.16%
7/31/14,36.161934,3.28%
8/31/14,37.348778,-0.94%
9/30/14,36.996437,2.04%
10/31/14,37.751431,4.81%
11/30/14,39.567295,-2.68%
12/31/14,38.505707,-3.00%
1/31/15,37.349178,7.99%
2/28/15,40.335228,-3.83%
3/31/15,38.79071,3.17%
4/30/15,40.021374,1.86%
5/31/15,40.763901,-4.54%
6/30/15,38.912289,3.31%
7/31/15,40.201336,-4.84%
8/31/15,38.256416,-2.52%
9/30/15,37.293396,11.01%
10/31/15,41.397816,0.71%
11/30/15,41.691822,-2.57%
12/31/15,40.620132,-3.23%
1/31/16,39.308533,-0.65%
2/29/16,39.051182,8.27%
3/31/16,42.282406,-4.55%
4/30/16,40.360058,4.89%
5/31/16,42.333515,-1.86%
6/30/16,41.547958,7.62%
7/31/16,44.715534,1.16%
8/31/16,45.235371,1.68%
9/30/16,45.995861,-0.34%
10/31/16,45.837723,0.17%
11/30/16,45.915054,1.81%
12/31/16,46.746357,4.01%
1/31/17,48.622837,4.53%
2/28/17,50.826782,1.83%
3/31/17,51.75885,2.40%
4/30/17,53.001072,3.95%
5/31/17,55.09655,-3.20%
6/30/17,53.332451,4.88%
7/31/17,55.93504,2.92%
8/31/17,57.569256,0.46%
9/30/17,57.833469,6.89%
10/31/17,61.821037,1.41%
11/30/17,62.695076,0.17%
12/31/17,62.803101,7.44%
1/31/18,67.473038,-0.41%
2/28/18,67.197037,-4.03%
3/31/18,64.486282,0.37%
4/30/18,64.727592,6.78%
5/31/18,69.117912,-0.62%
6/30/18,68.692726,2.45%
7/31/18,70.374878,6.60%
8/31/18,75.018906,-0.36%
9/30/18,74.750977,-7.69%
10/31/18,69.000519,-1.96%
11/30/18,67.646393,-8.77%
12/31/18,61.712147,7.40%